non_shiftable_load,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,electricity_pricing,outdoor_dry_bulb_temperature,solar_generation,carbon_intensity,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,month_sin,month_cos,hour_sin,hour_cos,day_type_sin,day_type_cos
0.7512441996701807,0.47744360902255634,0.6466165413533834,0.5413533834586466,0.7888888888888889,0.6444444444444444,0.7888888888888889,0.024582104228121928,0.9478859390363815,0.0,0.1049317943336831,0.8551941238195173,0.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.5413533834586466,0.0,0.4746224871797358,0.8222222222222222,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0
0.47045359476705606,0.5187969924812029,0.6466165413533834,0.5187969924812029,0.7666666666666666,0.6777777777777778,0.8555555555555555,0.1976401179941003,0.9498525073746313,0.0,0.465897166841553,0.7838405036726128,0.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.5451127819548872,0.0,0.4112142397819248,0.7666666666666666,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
0.3779817879990136,0.5827067669172933,0.6240601503759398,0.5187969924812029,0.7,0.7,0.8555555555555555,0.4129793510324484,0.6715830875122911,0.0,0.621196222455404,0.30535152151101785,0.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.5300751879699248,0.0,0.3978920441873704,0.7555555555555555,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
0.18644811074481538,0.6240601503759398,0.6466165413533834,0.5187969924812029,0.6777777777777778,0.6777777777777778,0.8888888888888888,0.544739429695182,0.5132743362831859,0.0,0.5152151101783841,0.16054564533053517,0.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.5150375939849624,0.0,0.38106392051400734,0.7555555555555555,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336
0.18631653359951503,0.6052631578947368,0.6240601503759398,0.4999999999999999,0.7,0.6777777777777778,0.8888888888888888,0.7649950835791545,0.4365781710914455,0.0,0.770199370409234,0.1825813221406086,0.0,0.030303030303030276,1.0,0.030303030303030276,0.030303030303030276,0.4999999999999999,0.0,0.3852027319939824,0.7555555555555555,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
0.5191121513984701,0.6240601503759398,0.5827067669172933,0.47744360902255634,0.6777777777777778,0.7333333333333333,0.9222222222222223,0.8879056047197641,0.38544739429695185,0.0,0.85099685204617,0.41552990556138514,0.0,0.030303030303030276,1.0,0.030303030303030276,0.030303030303030276,0.47744360902255634,0.0,0.4148524679259848,0.7888888888888889,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
0.11967847748173596,0.6466165413533834,0.5639097744360902,0.4999999999999999,0.6444444444444444,0.7555555555555555,0.8888888888888888,0.9478859390363815,0.22713864306784662,0.014749262536873158,0.8551941238195173,0.335781741867786,0.014690451206715634,0.030303030303030276,1.0,0.030303030303030276,0.030303030303030276,0.47744360902255634,0.007134527600319202,0.4330686780186776,0.7888888888888889,0.024582104228121928,0.1049317943336831,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
0.23292142275185163,0.6466165413533834,0.5639097744360902,0.5413533834586466,0.6777777777777778,0.7,0.8555555555555555,0.9498525073746313,0.026548672566371685,0.11406096361848575,0.7838405036726128,0.15005246589716684,0.04407135362014691,0.030303030303030276,1.0,0.030303030303030276,0.030303030303030276,0.5187969924812029,0.037527829429781806,0.4444520178124986,0.7666666666666666,0.1976401179941003,0.465897166841553,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
0.5170756660033726,0.6240601503759398,0.5413533834586466,0.5413533834586466,0.7,0.7333333333333333,0.8555555555555555,0.6715830875122911,0.0,0.24778761061946905,0.30535152151101785,0.0,0.0776495278069255,0.030303030303030276,1.0,0.030303030303030276,0.030303030303030276,0.5827067669172933,0.1230838589243659,0.5705187491707595,0.7,0.4129793510324484,0.621196222455404,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
0.5670556573795537,0.6466165413533834,0.5639097744360902,0.5413533834586466,0.6777777777777778,0.6666666666666666,0.8222222222222222,0.5132743362831859,0.0,0.2871189773844641,0.16054564533053517,0.0,0.03672612801678909,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.030303030303030276,0.6240601503759398,0.28680695799033,0.6268099436483079,0.6777777777777778,0.544739429695182,0.5152151101783841,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
